run	Rate	curr	pcal	hcal	hcer	aero	htrack	ptrack	TLT	boil	fadc	total	hgcer_rf_later	note fadc does not include htrig3 rate
6018	458.0	30.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9810	0.9921	0.9771	0.8523		
6019	458.9	30.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9810	0.9920	0.9771	0.8521		
6020	458.9	30.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9810	0.9920	0.9771	0.8521		
6021	458.7	30.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9810	0.9920	0.9771	0.8522		
6022	90.3	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9951	0.9894	0.9955	0.8783		
6023	450.9	50.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9813	0.9868	0.9775	0.8483		
6024	393.2	45.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9835	0.9881	0.9803	0.8538		
6025	393.7	45.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9835	0.9881	0.9803	0.8538		
6026	90.2	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9951	0.9894	0.9955	0.8784		
6027	157.4	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9925	0.9894	0.9921	0.8731		
6028	157.4	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9925	0.9894	0.9921	0.8731		
6029	482.3	18.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9801	0.9953	0.9759	0.8531		
6030	435.7	16.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9819	0.9958	0.9782	0.8572		
6031	431.2	16.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9821	0.9958	0.9784	0.8575		
6032	432.6	16.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9820	0.9958	0.9784	0.8574		
6033	487.1	35.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9799	0.9907	0.9756	0.8489		
6034	487.4	35.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9799	0.9907	0.9756	0.8488		
6035	485.9	35.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9800	0.9907	0.9757	0.8490		
6036	486.6	35.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9800	0.9907	0.9757	0.8489		
6038	428.2	18.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9822	0.9953	0.9786	0.8573		
6039	428.4	18.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9822	0.9953	0.9786	0.8573		
6040	428.1	18.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9822	0.9953	0.9786	0.8573		
6041	428.4	18.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9822	0.9953	0.9786	0.8573		
6042	428.1	18.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9822	0.9953	0.9786	0.8573		
6043	472.8	10.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9805	0.9973	0.9764	0.8556		
6044	473.5	10.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9805	0.9973	0.9763	0.8556		
6045	473.1	10.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9805	0.9973	0.9763	0.8556		
6046	273.8	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9881	0.9894	0.9863	0.8641		
6049	482.2	6.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9801	0.9984	0.9759	0.8558		
6050	482.9	6.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9801	0.9984	0.9759	0.8558		
6051	483.4	6.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9801	0.9984	0.9758	0.8557		
6052	481.7	6.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9801	0.9984	0.9759	0.8559		
6053	482.2	6.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9801	0.9984	0.9759	0.8558		
6054	558.3	7.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9772	0.9981	0.9721	0.8497		
6055	560.6	7.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9771	0.9981	0.9720	0.8496		
6056	469.2	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9806	0.9894	0.9765	0.8491		
6057	469.8	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9806	0.9894	0.9765	0.8491		
6058	469.4	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9806	0.9894	0.9765	0.8491		
6059	483.2	12.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9801	0.9968	0.9758	0.8544		
6060	483.8	12.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9801	0.9968	0.9758	0.8544		
6061	538.8	13.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9780	0.9964	0.9731	0.8498		
6062	539.4	13.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9779	0.9964	0.9730	0.8497		
6063	539.6	13.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9779	0.9964	0.9730	0.8497		
6064	539.9	13.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9779	0.9964	0.9730	0.8497		
6065	300.4	50.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9870	0.9868	0.9850	0.8598		
6066	310.9	50.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9866	0.9868	0.9845	0.8590		
6067	66.6	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9960	0.9894	0.9967	0.8802		
6068	494.9	45.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9796	0.9881	0.9753	0.8460		
6070	492.6	45.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9797	0.9881	0.9754	0.8462		
6071	493.0	45.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9797	0.9881	0.9754	0.8462		
6080	100.5	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9947	0.9894	0.9950	0.8775		
6081	484.9	28.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9800	0.9925	0.9758	0.8506		
6082	457.3	49.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9811	0.9872	0.9771	0.8481		
6083	451.3	48.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9813	0.9873	0.9774	0.8487		
6084	485.9	36.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9800	0.9904	0.9757	0.8487		
6085	486.8	36.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9799	0.9904	0.9757	0.8487		
6086	489.2	36.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9799	0.9904	0.9755	0.8485		
6087	163.9	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9923	0.9894	0.9918	0.8726		
6088	486.5	16.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9800	0.9956	0.9757	0.8531		
