Run	Pol(1+,2-)	Mom	Pol=1 =+v2,2=-v2
6018	1	4.38	
6019	1	4.38	
6020	1	4.38	
6021	1	4.38	
6022	1	4.38	
6023	1	4.37	
6024	1	4.38	
6025	1	4.38	
6026	1	4.39	
6027	1	3.75	
6028	1	3.75	
6029	1	3.73	
6030	1	3.76	
6031	1	3.76	
6032	1	3.76	
6033	1	3.75	
6034	1	3.76	
6035	1	3.76	
6036	1	3.76	
6038	1	3.12	
6039	1	3.12	
6040	1	3.12	
6041	1	3.12	
6042	1	3.12	
6043	1	3.13	
6044	1	3.12	
6045	1	3.13	
6046	1	3.13	
6049	1	2.49	
6050	1	2.5	
6051	1	2.5	
6052	1	2.5	
6053	1	2.5	
6054	1	2.5	
6055	1	2.5	
6056	1	2.49	
6057	1	2.49	
6058	1	2.49	
6059	1	2.5	
6060	1	2.5	
6061	1	2.49	
6062	1	2.49	
6063	1	2.49	
6064	1	2.5	
6065	2	4.37	
6066	2	4.37	
6067	2	4.36	
6068	2	4.38	
6070	2	4.37	
6071	2	4.38	
6080	2	3.73	
6081	2	3.74	
6082	2	3.75	
6083	2	3.74	
6084	2	3.11	
6085	2	3.11	
6086	2	3.11	
6087	2	3.12	
6088	2	3.11	
6089	2	3.11	
6090	2	3.11	
6091	2	2.49	
6093	2	2.49	
6094	2	2.5	
6095	2	2.49	
6096	2	2.49	
6097	2	2.48	
6098	2	2.49	
6099	2	2.49	
6101	2	2.49	
6102	2	2.48	
6103	2	2.48	
6104	2	3.31	
6105	2	3.32	
6106	2	3.32	
6109	2	3.33	
6110	2	3.31	
6112	2	3.32	
6114	2	3.33	
6115	2	2.87	
6116	2	2.88	
6117	2	2.87	
6118	2	2.87	
6119	2	2.88	
6120	2	2.88	
6121	2	2.87	
6122	2	2.39	
6123	2	2.4	
6124	2	2.39	
6125	2	2.39	
6126	2	2.39	
6127	2	2.4	
6128	2	2.39	
6129	2	1.9	
6130	2	1.89	
6132	2	1.89	
6133	2	1.91	
6135	2	1.89	
6136	2	1.9	
6137	2	1.9	
6138	2	1.9	
6139	2	1.9	
6140	2	1.9	
6141	2	1.9	
6142	1	3.34	
6144	1	3.34	
6145	1	3.35	
6146	1	3.34	
6155	1	3.32	
6163	1	3.34	
6164	1	3.34	
6166	1	3.34	
6168	1	3.33	
6169	1	3.35	
6170	1	2.89	
6171	1	2.88	
6172	1	2.89	
6174	1	2.87	
6175	1	2.88	
6177	1	2.4	
6178	1	2.4	
6179	1	2.4	
6180	1	2.4	
6181	1	2.4	
6182	1	2.4	
6183	1	1.9	
6184	1	1.9	
6185	1	1.9	
6186	1	1.9	
6187	1	1.9	
6188	1	1.9	
6189	1	1.9	
6190	1	1.91	
6192	1	4.06	
6193	1	4.07	
6194	1	4.09	
6195	1	4.08	
6196	1	4.08	
6197	1	3.48	
6198	1	3.48	
6199	1	3.48	
6200	1	3.48	
6201	1	3.48	
6202	1	2.93	
6203	1	2.92	
6204	1	2.92	
6205	1	2.92	
6208	1	2.93	
6209	1	2.93	
6210	1	2.93	
6211	1	2.93	
6212	1	2.92	
6213	1	2.35	
6214	1	2.35	
6215	1	2.36	
6216	1	2.35	
6217	1	2.36	
6219	1	2.36	
6220	1	2.36	
6221	1	2.36	
6222	1	2.36	
6223	1	2.36	
6224	1	2.36	
6225	1	2.37	
6237	2	4.09	
6240	2	4.08	
6241	2	4.08	
6242	2	4.06	
6243	2	4.06	
6244	2	4.04	
6245	2	4.06	
6246	2	4.06	
6247	2	4.06	
6248	2	3.48	
6249	2	3.48	
6250	2	3.47	
6251	2	3.47	
6252	2	3.47	
6253	2	3.47	
6254	2	3.47	
6255	2	3.47	
6256	2	2.91	
6257	2	2.91	
6258	2	2.91	
6259	2	2.91	
6260	2	2.91	
6261	2	2.91	
6262	2	2.91	
6263	2	2.92	
6264	2	2.91	
6265	2	2.92	
6266	2	2.92	
6267	2	2.91	
6270	2	2.35	
6271	2	2.35	
6272	2	2.35	
6273	2	2.34	
6274	2	2.37	
6275	2	2.35	
6276	2	2.36	
6281	2	2.36	
6282	2	2.36	
6284	2	2.35	
6285	2	3.3	
6286	2	3.3	
6287	2	3.3	
6288	2	3.32	
6289	2	3.31	
6290	2	3.32	
6291	2	3.32	
6292	2	2.88	
6293	2	2.88	
6294	2	2.87	
6295	2	2.87	
6296	2	2.88	
6297	2	2.88	
6298	2	2.88	
6299	2	2.88	
6300	2	2.4	
6301	2	2.4	
6302	2	2.39	
6304	2	2.38	
6305	2	2.4	
6306	2	2.39	
6307	2	2.39	
6308	2	2.39	
6309	1	3.35	
6310	1	3.35	
6311	1	3.34	
6312	1	3.33	
6313	1	3.35	
6314	1	3.36	
6315	1	2.88	
6316	1	2.88	
6317	1	2.88	
6318	1	2.89	
6322	1	2.89	
6323	1	2.89	
6325	1	2.4	
6326	1	2.39	
6327	1	2.4	
6328	1	2.4	
6329	1	2.4	
6331	1	2.4	
6332	1	2.4	
6334	1	1.9	
6335	1	1.9	
6336	1	1.9	
6337	1	1.9	
6338	1	1.9	
6339	1	1.89	
6340	1	1.9	
6341	1	1.9	
6342	1	1.9	
6343	1	1.9	
6344	1	1.9	
6345	1	1.9	
6346	1	1.9	
6347	1	1.91	
6348	2	1.9	
6349	2	1.9	
6350	2	1.9	
6351	2	1.9	
6352	2	1.89	
6353	2	1.89	
6354	2	1.88	
6355	2	1.89	
6356	2	1.89	
6357	2	1.89	
6358	2	1.9	
6359	2	3.03	
6360	2	3.03	
6363	2	3.02	
6364	2	3.02	
6365	2	3.03	
6367	2	2.58	
6368	2	2.57	
6370	2	2.58	
6371	2	2.58	
6372	2	2.58	
6373	2	2.16	
6374	2	2.15	
6375	2	2.16	
6376	2	2.15	
6377	2	2.16	
6378	2	1.76	
6379	2	1.76	
6380	2	1.76	
6381	2	1.76	
6382	2	1.76	
6383	2	1.76	
6385	1	3.05	
6386	1	3.07	
6387	1	3.05	
6388	1	3.06	
6389	1	3.05	
6390	1	2.58	
6391	1	2.59	
6393	1	2.59	
6394	1	2.6	
6395	1	2.59	
6396	1	2.6	
6397	1	3.06	
6399	1	2.16	
6400	1	2.17	
6401	1	2.16	
6402	1	2.17	
6403	1	2.16	
6404	1	2.17	
6405	1	2.17	
6406	1	2.17	
6407	1	1.76	
6408	1	1.76	
6411	1	1.76	
6412	1	1.76	
6413	1	1.76	
6415	1	1.76	
6416	1	1.76	
6417	1	1.76	
6419	1	3.84	
6421	1	3.84	
6422	1	3.84	
6423	1	3.84	
6425	1	3.84	
6426	1	3.84	
6427	1	3.29	
6428	1	3.29	
6429	1	3.29	
6430	1	3.29	
6431	1	3.3	
6432	1	3.29	
6433	1	3.29	
6434	1	2.74	
6435	1	2.75	
6436	1	2.75	
6439	1	2.75	
6440	1	2.75	
6441	1	2.18	
6442	1	2.18	
6443	1	2.19	
6444	1	2.18	
6445	1	2.19	
6446	1	2.19	
6447	1	2.18	
6448	1	2.19	
6451	2	3.82	
6452	2	3.82	
6454	2	3.81	
6455	2	3.82	
6456	2	3.27	
6459	2	3.27	
6460	2	3.28	
6461	2	3.28	
6462	2	3.28	
6463	2	3.28	
6464	2	3.27	
6465	2	2.73	
6466	2	2.74	
6467	2	2.73	
6468	2	2.74	
6469	2	2.76	
6470	2	2.73	
6471	2	2.17	
6472	2	2.18	
6473	2	2.18	
6474	2	2.17	
6475	2	2.18	
6476	2	2.18	
6477	2	2.18	
6478	2	2.18	
6479	2	2.18	
6486	2	3.03	
6487	2	3.03	
6488	2	2.6	
6489	2	2.58	
6490	2	2.16	
6491	2	2.16	
6493	2	2.16	
6494	2	2.15	
6495	2	1.76	
6496	2	1.76	
6497	2	1.76	
6498	2	1.76	
6499	2	1.76	
6500	1	3.05	
6501	1	3.05	
6502	1	3.05	
6503	1	2.59	
6504	1	2.57	
6506	1	2.59	
6507	1	2.59	
6509	1	2.16	
6510	1	2.17	
6512	1	2.16	
6513	1	1.76	
6514	1	1.76	
6515	1	1.76	
6516	1	1.76	
6517	1	1.76	
6518	1	4.22	
6519	1	4.22	
6520	1	4.23	
6521	1	4.21	
6522	2	4.2	
6523	2	4.2	
6524	2	4.2	
6525	2	4.2	
6526	2	4.2	
6527	2	3.6	
6528	2	3.6	
6529	2	3.6	
6531	2	3.6	
6532	2	3.6	
6533	1	3.62	
6534	1	3.62	
6535	1	3.62	
6536	1	3.62	
6537	1	3.83	
6538	1	3.85	
6539	1	3.3	
6541	1	3.29	
6542	1	2.75	
6543	1	2.74	
6544	1	2.75	
6545	2	3.82	
6546	2	3.83	
6547	2	3.27	
6548	2	3.27	
6549	2	3.28	
6550	2	2.73	
6551	2	2.73	
6552	2	2.74	
7593	2	3.24	
7599	2	3.16	
7600	2	3.24	
7601	2	3.24	
7602	2	3.22	
7603	2	3.23	
7604	2	3.19	
7605	2	2.78	
7606	2	2.79	
7607	2	2.79	
7608	2	2.79	
7609	2	2.79	
7610	2	2.8	
7611	2	2.36	
7612	2	2.35	
7613	2	2.35	
7614	2	2.35	
7615	2	2.36	
7616	2	2.35	
7617	2	2.35	
7618	2	2.34	
7619	2	2.35	
7620	2	1.85	
7621	2	1.85	
7622	2	1.86	
7623	2	1.85	
7625	2	1.86	
7626	2	1.85	
7627	2	1.86	
7628	2	1.86	
